Identification;EshopId;EshopName;ManagerClassName;ProductItemId;Name;Description;SearchCategoryKey;CategoryId;CategoryDesc
153||7340;153;Monclick;TD_MANAGER;7340;Elettroinsetticida Cub Zan Elettroinsetticida a luce LED;"Tipologia: Elettroinsetticida;";Tempo libero > Giardinaggio;[126];Veicoli elettrici
153||70C20K0;153;Monclick;TD_MANAGER;70C20K0;Toner 702k - nero - originale - cartuccia toner 70c20k0;"Tipologia: Toner; Colore: Nero; Quantità per confezione: Confezione da 1;";Consumabili > Cartucce e toner;[113,192];Dispositivi elettronici > accessori stampanti
153||734807_B21;153;Monclick;TD_MANAGER;734807_B21;Hpe small form factor easy install rail kit - kit rack rail - 1u 734807-b21;"Tipologia: Kit rack rail;";Accessori > Accessori rack;[113,191];Dispositivi elettronici > accessori computer e tablet
153||70C20ME;153;Monclick;TD_MANAGER;70C20ME;Toner 702me - magenta - originale - cartuccia toner - lccp, lrp 70c20me;"Tipologia: Toner; Colore: Magenta; Quantità per confezione: Confezione da 1;";Consumabili > Cartucce e toner;[113,192];Dispositivi elettronici > accessori stampanti
153||7352;153;Monclick;TD_MANAGER;7352;Elettroinsetticida Cattura insetti Mosquit-All;"Tipologia: n.d.;";Tempo libero > Giardinaggio;[126];Veicoli elettrici
153||70C20YE;153;Monclick;TD_MANAGER;70C20YE;Toner 702ye - giallo - originale - cartuccia toner - lccp, lrp 70c20ye;"Tipologia: Toner; Colore: Giallo; Quantità per confezione: Confezione da 1;";Consumabili > Cartucce e toner;[113,192];Dispositivi elettronici > accessori stampanti
153||73_56;153;Monclick;TD_MANAGER;73_56;Evidenziatore Boss executive - evidenziatore - rosa fluorescente 73/56;"Tipologia: Evidenziatori; Colore: Rosa; Quantità per confezione: 10;";Prodotti per scuola e ufficio > Pastelli e pennarelli;[111,188];Casa e giardino > sicurezza
153||70C2HCE;153;Monclick;TD_MANAGER;70C2HCE;Toner 702hce - alta resa - ciano - originale - cartuccia toner 70c2hce;"Tipologia: Toner; Colore: Ciano; Quantità per confezione: Confezione da 1;";Consumabili > Cartucce e toner;[113,192];Dispositivi elettronici > accessori stampanti
153||73573;153;Monclick;TD_MANAGER;73573;Post it Super sticky 654-12ssuc - blocchi - 76 x 76 mm - 1080 fogli (12 x 90) 75563;"Colore: Blu Mediterraneo, Fucsia, Giallo, Pervinca, Verde neon; Quantità per confezione: 1; Numero fogli: 1080 fogli;";Prodotti per scuola e ufficio > Post it;[111,188];Casa e giardino > sicurezza
153||70C2HKE;153;Monclick;TD_MANAGER;70C2HKE;Toner 702hke - nero - originale - cartuccia toner - lexmark corporate 70c2hke;"Tipologia: Toner; Colore: Nero; Quantità per confezione: Confezione da 1;";Consumabili > Cartucce e toner;[113,192];Dispositivi elettronici > accessori stampanti
153||73680036;153;Monclick;TD_MANAGER;73680036;Plastificatrice Ilam home office a4 - plastificatrice - astuccio 73680036;"Tipologia: Plastificatrice a freddo o a caldo; Formato max: A4;";Prodotti per scuola e ufficio > Plastificatrici e piegatrici;[111,188];Casa e giardino > sicurezza
